,A.1 Expected Annual Damage,A.1 Expected Number of Deaths,A.2 Expected Annual Damage,A.2 Expected Number of Deaths,A.4 Expected Annual Damage,A.4 Expected Number of Deaths,A.5 Expected Annual Damage,A.5 Expected Number of Deaths,Total Infrastructure Costs
401,1940126667.4302301,1.4142045012327027,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
402,361861678.6062776,0.2050346573091257,14601167.693399642,0.011411559156554618,0.0,0.0,233555623.43034518,0.17131941296636632,11068771.68625446
403,131629277.12087117,0.1279547383269692,1174005.693656847,0.0015945597914050341,0.0,0.0,0.0,0.0,11068771.68625446
404,190384815.32244343,0.1327248126792444,75449773.95504716,0.06966829644699872,0.0,0.0,0.0,0.0,11068771.68625446
405,52300900.70314326,0.037186071099267935,58038999.051855616,0.054615033242008226,0.0,0.0,191090265.62166786,0.1668040110272062,11068771.68625446
406,2442455778.2312856,1.5120332390059956,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
407,2369036611.0559893,1.5444924387574814,1537860.8275732154,0.0013933393427015205,0.0,0.0,204674188.5252319,0.16998929353140263,11068771.68625446
408,18077060.71946711,0.012951685300008307,24435789.731613386,0.02356798733435022,0.0,0.0,0.0,0.0,11068771.68625446
409,440112456.237231,0.41855205900702225,0.0,0.0,0.0,0.0,514792261.68681467,0.6196701836329448,11068771.68625446
410,2074535889.89611,1.3468266644398208,752899159.9345558,0.6153250740870546,0.0,0.0,0.0,0.0,11068771.68625446
411,61187505.024338394,0.05632664814394241,153745354.2516178,0.1813700100781927,0.0,0.0,0.0,0.0,11068771.68625446
412,439785215.72691524,0.24775167517556912,0.0,0.0,0.0,0.0,812332612.7707174,0.5825537177096246,11068771.68625446
413,272114317.825425,0.16854661150527206,20201290.816033214,0.017181596080958723,56171526.54016791,0.02324333083096341,0.0,0.0,11068771.68625446
414,0.0,0.0,32175349.537258066,0.029581587256063493,21017770.669805408,0.01005278663659194,144384276.92354316,0.1239184035879963,11068771.68625446
415,898736412.5693738,0.6817316200999365,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
416,59380096.070488706,0.0451526126750889,70845504.7385432,0.07084912367449017,0.0,0.0,5640966.568770202,0.005439008298858246,11068771.68625446
417,0.0,0.0,4110543.254004686,0.004861480470321639,0.0,0.0,0.0,0.0,11068771.68625446
418,1981287996.3776302,1.558248254150439,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
419,1694305050.686052,1.5508595593832166,22811884.92502912,0.02910003576692205,0.0,0.0,0.0,0.0,11068771.68625446
420,0.0,0.0,717018095.4673257,0.6711926507349137,0.0,0.0,0.0,0.0,11068771.68625446
421,108763037.34493236,0.07307058704829572,27869822.46378248,0.025236224550236858,0.0,0.0,0.0,0.0,11068771.68625446
422,0.0,0.0,201943302.8376484,0.1873178917608864,0.0,0.0,0.0,0.0,11068771.68625446
423,2473426112.8490376,1.536066180299496,18369403.703817762,0.016150877530257034,0.0,0.0,0.0,0.0,11068771.68625446
424,1817094227.962606,1.5585216031964064,288769423.1903331,0.3161187422914003,0.0,0.0,0.0,0.0,11068771.68625446
425,0.0,0.0,58686614.73690106,0.07265528269882227,0.0,0.0,482850900.1769672,0.5508308933248791,11068771.68625446
426,2511950645.566785,1.5659794483334748,0.0,0.0,0.0,0.0,2951846.3263377734,0.0025127580955304563,11068771.68625446
427,56241666.813462004,0.04532271858697812,19852410.240655623,0.02162191242049496,0.0,0.0,937029662.129843,0.9030735332094924,11068771.68625446
428,2265276283.0471163,1.5612328443865024,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
429,543610971.6889601,0.4078835170717001,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
430,69948533.28198272,0.07440002249378025,493101884.8900869,0.6382514639085788,0.0,0.0,0.0,0.0,11068771.68625446
431,144488472.82356662,0.10148033783285862,5794066.781165454,0.005540501895339353,0.0,0.0,0.0,0.0,11068771.68625446
432,0.0,0.0,514706179.4786966,0.5367144858392185,0.0,0.0,0.0,0.0,11068771.68625446
433,20882000.420019522,0.022348170126678446,534697243.5049898,0.6808760525806969,0.0,0.0,0.0,0.0,11068771.68625446
434,119308368.08366525,0.10080304547063207,390470917.59078145,0.41239791971692197,0.0,0.0,0.0,0.0,11068771.68625446
435,527377609.1263808,0.5323459951734049,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
436,2824925139.2969747,1.5036573289562398,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
437,176290363.6184144,0.10166388722791242,251123837.9987027,0.18709463823888403,463279.93783694576,0.00017445255837248593,0.0,0.0,11068771.68625446
438,2256593564.992486,1.5537746138755495,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
