,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,A4Expected_Annual_Damage,A4Expected_Number_of_Deaths,Total_Infrastructure_Costs,Total_Expected_Annual_Damage,Total_Expected_Number_of_Deaths
15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,1,0,0,50772205.63598576,0.0020901927280124336,138419823.2038706,230027626.9471703,0.019786924750674218
16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,4,0,0,4,0,0,4,0,0,0.0,0.0,196763647.91957483,26113632.493562814,0.002159317453515246
17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,4,0,0,2,0,0,4,0,0,5842814.340700572,0.00029480316945139915,202362493.6169618,19558273.425786898,0.0013675539206056647
18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,4,0,0,2,0,0,3,0,0,5720289.051793149,0.00028504195112326206,191374942.26211444,44767414.19987214,0.0035182179715098887
19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,4,0,0,4,0,0,4,0,0,0.0,0.0,204725608.75960508,13715459.085086327,0.0010727507511542654
20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,2,0,0,0,0,0,2,0,0,52459955.78582545,0.002219935187895576,169763657.79352146,105405120.20204593,0.006657725029767454
21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,4,0,0,3,0,0,4,0,0,1716504.145423073,8.77578220670167e-05,195521860.2540178,27830136.638985887,0.002247075275582263
22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,2,0,0,2,0,0,2,0,0,1973887.9845399274,9.381235299026757e-05,177095738.01304325,103654689.13079274,0.008534359101704539
23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,2,0,0,3,0,0,2,0,0,0.0,0.0,178217065.4901295,101680801.14625281,0.008440546748714271
24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,1,0,0,1,0,0,2,0,0,4621334.63431973,0.00021194204346899363,167580927.02233905,162108926.75723338,0.013529246082160924
25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0.0,0.0,141230110.06448996,257887443.16993022,0.024020729981700586
26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,1,0,2,0,0,2,0,0,1008931.7839917915,4.771796358033448e-05,175227207.44156018,123149649.99065655,0.01505270183280875
27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,1,0,0,1,0,0,2,0,0,14768260.974041604,0.0006665075660604264,174215927.53170463,115273747.37681358,0.01191307614335547
28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,138689094.18300846,273144961.3414711,0.025250909065820348
29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,1,0,0,2,0,0,0.0,0.0,154026446.05115563,173010128.44031537,0.017289506568078004
30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,1,0,1,0,0,2,0,0,3080889.7562131532,0.00014129469564599576,167580927.02233905,167824424.9418838,0.014918408062327877
31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,2,0,0,1,0,0,2,0,0,15228751.282593844,0.0006887429736801922,176084458.1031877,83266478.23246029,0.006370525070927578
32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,1,0,2,0,0,2,0,0,1008931.7839917915,4.771796358033448e-05,168592206.9321946,165752466.96966243,0.014824831330262217
33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,138616065.2880335,310996714.32506454,0.026275698893678614
34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,51679799.15381363,0.0021594941409220463,127287956.45790625,270016277.8800249,0.029082657449829834
35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,1,0,0,0,0,0,2,0,0,52378880.50659202,0.002213476166181208,167895127.2220384,141347464.60036933,0.012509846648933643
36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,1,0,0,2,0,0,6993070.195739839,0.0003171668232553363,161186986.73522773,146883494.92541578,0.020943586404705814
37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,2,0,0,1,0,0,3,0,0,15228751.282593844,0.0006887429736801922,178857754.17791244,68173915.69881432,0.00512653281555207
38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,1,0,0,2,0,0,3,0,0,1513397.6759876874,7.157694537050172e-05,178000503.5162849,90481981.76976499,0.010367947428122935
39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,60293306.49662383,1431887902.6192782,0.10829545161181187
40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,2,0,0,3,0,0,3,0,0,0.0,0.0,180990361.56485423,52945164.41622048,0.004437789841871878
41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,2,0,0,2,0,0,0.0,0.0,168943073.30122054,133645131.85880679,0.020219194126866694
