,A0_ID_flood_wave_shape,A1_Bmax,A1_Brate,A1_pfail,A2_Bmax,A2_Brate,A2_pfail,A3_Bmax,A3_Brate,A3_pfail,A4_Bmax,A4_Brate,A4_pfail,A5_Bmax,A5_Brate,A5_pfail,discount_rate_0,discount_rate_1,discount_rate_2,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,scenario,policy,model,A1_Expected_Annual_Damage,A1_Expected_Number_of_Deaths,A2_Expected_Annual_Damage,A2_Expected_Number_of_Deaths,A3_Expected_Annual_Damage,A3_Expected_Number_of_Deaths,A4_Expected_Annual_Damage,A4_Expected_Number_of_Deaths,A5_Expected_Annual_Damage,A5_Expected_Number_of_Deaths,Total_Infrastructure_Costs,Total_Expected_Annual_Damage,Total_Expected_Number_of_Deaths
36794,91,88.77609482415438,1.5,0.6778311132304724,309.49311781651494,1.0,0.9951540330772216,178.55733083366871,10.0,0.4714433343373425,294.61112421483614,1.5,0.0836597765107299,222.36717442523167,10.0,0.3769823648456707,1.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36794,Base Case,dikesnet,51613542.15732415,0.0396254692898963,1932871.9583565528,0.0020441943229393,182578495.5394429,0.3481178460512161,141002083.24666503,0.0645510918612528,0.0,0.0,0.0,377126992.9017886,0.4543386015253047
70609,88,45.75613373179813,1.5,0.903666542051123,190.3304965264745,1.0,0.577965212384724,265.972443848243,1.0,0.908238931282949,219.76394163487987,1.5,0.0323019192967654,242.11153485563307,1.0,0.1905626918072121,2.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70609,Base Case,dikesnet,0.0,0.0,43252255.59478937,0.0430887703020976,3658418.369479213,0.0069688061545908,141000389.25727797,0.0590460526578799,12835287.392286964,0.0117143566012947,0.0,200746350.6138335,0.1208179857158632
9091,108,146.198641185785,10.0,0.7644934204699965,166.96563009465078,1.5,0.7982135481514226,112.24719789504276,1.5,0.9432372340016212,42.45232907034093,10.0,0.0051737404913307,229.86939241736945,10.0,0.6917563473957217,3.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9091,Base Case,dikesnet,6455396.092128834,0.0055947367937355,19794824.67832404,0.0229771130058923,14530953.493718307,0.0318956603446494,140999236.2236289,0.0682447698329922,0.0,0.0,0.0,181780410.4878001,0.1287122799772695
19673,97,109.0706551261405,1.0,0.7063778614126298,205.43920002984405,10.0,0.7109504611771598,184.6204520341064,1.0,0.3683536254219606,146.78636220617875,1.0,0.0699428389172844,119.31812259933764,10.0,0.4689436833736028,4.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19673,Base Case,dikesnet,33993203.98580523,0.0243708651867333,34411598.33046784,0.0329726037722381,420895825.925562,0.7321854334666527,140998264.09850416,0.0588991336576777,0.0,0.0,0.0,630298892.3403393,0.8484280360833019
71989,86,279.8628987546838,1.0,0.4422414053129826,293.10049328125154,1.5,0.8746546448668385,77.50911944470587,1.5,0.3184431045347177,104.7304987894312,1.0,0.0440829500698539,109.6148727279223,1.5,0.4905355765557603,1.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71989,Base Case,dikesnet,471527068.2370814,0.344980098346941,0.0,0.0,561341827.5429275,1.0330083466513371,140963447.71606392,0.0602260375714717,0.0,0.0,0.0,1173832343.4960728,1.4382144825697505
78068,132,123.20987746895244,10.0,0.9128618656247978,343.31969987787886,1.0,0.1311628090659583,119.49737804538636,1.5,0.8803441654847077,345.0832009987826,1.5,0.0274876808642153,210.26268446885115,10.0,0.0869934632560644,1.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78068,Base Case,dikesnet,0.0,0.0,600769996.6844848,0.4971286560096711,0.0,0.0,140956115.63068262,0.0485595861595345,0.0,0.0,0.0,741726112.3151674,0.5456882421692058
61151,123,255.00776500693297,1.5,0.5093786493314009,293.94653204290864,10.0,0.269592713092482,330.6578629832475,1.5,0.3501384111742052,195.79557190671483,10.0,0.0413834858083616,135.39390239546913,1.0,0.1010430505768939,4.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61151,Base Case,dikesnet,254465213.4984164,0.2254409460882353,193919921.77940252,0.222597173117821,461092408.14507246,1.008685496067217,140915921.59665567,0.0729595963936154,0.0,0.0,0.0,1050393465.0195472,1.5296832116668888
24559,93,86.99233426798759,10.0,0.9055685351456672,237.27990462818084,1.5,0.3895377866896806,193.1026100682913,1.5,0.7475764803017484,249.40215651412524,10.0,0.0134394738566007,328.73566295243626,10.0,0.7774865450003734,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24559,Base Case,dikesnet,0.0,0.0,82030715.90243696,0.0941061537385377,3084036.088206574,0.0068007098449249,140901818.64448175,0.0695937293147974,0.0,0.0,0.0,226016570.63512528,0.1705005928982601
60306,12,102.10996755559788,1.5,0.7342115533377671,30.04847593575831,10.0,0.8974899661545878,90.8797136057588,1.0,0.4746422307740335,185.47469264682755,10.0,0.0753861180765166,110.17812638297336,10.0,0.2802823164553891,4.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60306,Base Case,dikesnet,34229572.30687044,0.0245676849122892,15304087.401757551,0.0149514457513833,195569362.3171773,0.3464319809484275,140875967.85974374,0.0590201857281711,0.0,0.0,0.0,385978989.88554907,0.4449712973402712
25215,35,244.4571048358709,10.0,0.8867087693365575,67.1956678068073,10.0,0.6434029456359607,238.4816509701816,10.0,0.6690592195714077,81.6762957003781,1.5,0.0211207964029047,124.2604320319736,1.5,0.692478723959666,4.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25215,Base Case,dikesnet,0.0,0.0,44759600.23177337,0.054441790685725,55484540.147569045,0.1265566559224543,140861077.01443443,0.0735630167294856,0.0,0.0,0.0,241105217.39377683,0.254561463337665
55791,123,137.25872391018694,1.0,0.8159510878784177,82.87657503718192,10.0,0.7886298086175955,268.6558797465468,1.0,0.9030900223232792,175.54689569462417,1.5,0.0813584147453311,124.67832291926004,1.5,0.7802598756917415,4.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55791,Base Case,dikesnet,7231158.533556679,0.0059451250200809,30704778.82374151,0.0336810774209237,44618909.346092656,0.0911625674881254,140857456.38770568,0.0700884204878813,0.0,0.0,0.0,223412303.0910965,0.2008771904170114
27700,22,174.97208100323093,1.0,0.5813497852536201,113.05541699662406,1.5,0.6165490710665416,97.95232360664706,1.5,0.3917323307502403,289.1551852630532,10.0,0.0283126290532973,68.14884452546357,1.5,0.9814944716093256,2.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27700,Base Case,dikesnet,95851715.84023306,0.0811055297845388,37559991.409788094,0.0423601812238571,326578437.5772885,0.6848721979270356,140849406.54798555,0.0673007282931051,0.0,0.0,0.0,600839551.3752952,0.8756386372285367
42942,99,281.4614718338243,10.0,0.7591568016282667,280.18676862888685,1.5,0.83167058321073,104.56312950156196,1.0,0.611894919091198,110.63402096671764,1.0,0.04323727476263,269.3471363561952,10.0,0.7868594869831211,4.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42942,Base Case,dikesnet,14791567.672221247,0.0136416360455811,18819609.180200662,0.0234121146740201,85546597.45535944,0.1959183458703716,140822274.27351844,0.0739808754288905,0.0,0.0,0.0,259980048.58129972,0.3069529720188634
18214,92,154.40291369210135,10.0,0.9090187422940196,278.5026056207545,10.0,0.6199345978694992,252.14767176571505,1.5,0.4164510239577995,100.49054128635822,1.0,0.0437501716387945,205.96237904865325,10.0,0.1099612421019103,1.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18214,Base Case,dikesnet,0.0,0.0,42150664.61403863,0.0381349136622835,337821707.94140005,0.5622541253165407,140778690.15025395,0.0553773590228153,107394991.753644,0.0875249045736082,0.0,628146054.4593366,0.7432913025752479
47246,117,316.2677519437489,1.0,0.617988340122484,264.0249986754833,1.0,0.1535824297351024,288.38156936280217,1.0,0.3014185234918062,334.3369420241601,1.5,0.0028671380514844,91.96220470614853,1.0,0.1684928555346724,3.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47246,Base Case,dikesnet,82424844.31804168,0.0597243217943198,565259172.7624266,0.5021666739087596,231203287.0953368,0.4006968001170494,140774468.68311733,0.053494675975928,0.0,0.0,0.0,1019661772.8589224,1.0160824717960568
14081,104,279.7860474577073,1.0,0.5686048431350974,145.73729351417003,10.0,0.8235899133646857,171.00815556734096,10.0,0.4541879364721351,212.2254980146033,1.0,0.0242767790876677,225.9346433283457,1.5,0.3234155714255154,4.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14081,Base Case,dikesnet,121191115.95490824,0.1088752908875701,3782256.129783309,0.0046292754831553,253494717.9840065,0.5678645592716105,140749328.21273848,0.0729313524868887,0.0,0.0,0.0,519217418.28143656,0.7543004781292247
47141,63,144.20577090271576,1.5,0.5675491655094083,324.40510899138724,1.0,0.1798245658498778,325.68731883759807,10.0,0.7155430268167541,129.92635658063926,1.5,0.0518421550274879,244.7317720087711,1.0,0.5162249778333617,1.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47141,Base Case,dikesnet,148100354.52797633,0.0943225562339411,464973826.8983414,0.371640233820537,0.0,0.0,140718018.44656143,0.0489618524887471,0.0,0.0,0.0,753792199.8728791,0.5149246425432255
40589,17,300.8212214925803,1.0,0.6914292303029438,313.8435064215138,10.0,0.9196884611297692,90.6910960215736,10.0,0.9891219006222468,334.1774627970728,1.5,0.0771744247496635,188.1731108232869,10.0,0.1856469279334649,3.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40589,Base Case,dikesnet,31957520.43478522,0.024136206058884,14140942.886844223,0.0145498845438814,16009727.30109433,0.0308852161334748,140700828.12982804,0.0638867235310077,0.0,0.0,0.0,202809018.75255185,0.1334580302672481
29204,87,40.57018086488544,1.5,0.6243494531365228,184.6616241360336,1.0,0.3825045572464006,312.95047975236423,10.0,0.901568070389694,187.78336134325983,1.0,0.057421320096218,66.54239402255251,1.5,0.9785043570882014,3.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29204,Base Case,dikesnet,70012239.07920584,0.0598742859809205,138706175.33123493,0.1527900361012891,0.0,0.0,140696142.95146602,0.0698296293084287,0.0,0.0,0.0,349414557.3619068,0.2824939513906384
72039,35,234.69929759815705,10.0,0.5213224109108113,97.65135217927362,1.5,0.3117532114417076,318.2778246377316,1.5,0.3391458603969896,292.1356073369757,1.5,0.0918414063036715,290.985068933814,1.0,0.9952349375805114,2.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72039,Base Case,dikesnet,323715388.8211351,0.2239519958489692,166116506.4130348,0.1509666662270287,604233126.6345747,1.0361867212817957,140657224.68843776,0.0586809319274954,0.0,0.0,0.0,1234722246.5571823,1.469786315285289
71134,112,230.9527781395457,10.0,0.6169312192298594,263.31896809890725,10.0,0.7219097254304752,81.83811701279718,10.0,0.6322674474021124,156.897123754993,1.5,0.0104796703283159,254.197472127051,1.0,0.6514444084440404,3.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71134,Base Case,dikesnet,64573381.67298134,0.060281339573017,26030309.137796894,0.032552554701803,83286729.51307064,0.1957464909528582,140653162.08063394,0.0761810844686207,0.0,0.0,0.0,314543582.40448284,0.3647614696962991
41616,57,91.79165884199864,1.5,0.8403950600697713,52.26793729532152,1.0,0.2271710278318582,39.364047504388274,10.0,0.983247939261042,74.05527711994517,10.0,0.0358712377761536,321.6478446655277,10.0,0.3650430765606549,3.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41616,Base Case,dikesnet,0.0,0.0,285514928.70004046,0.2730309005171579,0.0,0.0,140611060.3605299,0.0601301054785869,0.0,0.0,0.0,426125989.0605704,0.3331610059957449
78406,105,319.7687460114872,1.5,0.9444627348367054,134.4381219503992,1.0,0.6501022687114003,84.2950793363091,1.5,0.675261861653441,226.65979771399407,1.0,0.0293810421351203,106.60599755399448,1.5,0.0104209631743477,3.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78406,Base Case,dikesnet,0.0,0.0,35174900.9246043,0.0441342980715031,70382049.72674626,0.1647684166664629,140546468.269104,0.0761061299147775,585694642.814873,0.5931519215666919,0.0,831798061.7353275,0.8781607662194355
72536,54,279.9989840385068,1.5,0.4793448127664649,225.1310119542838,1.0,0.6242248423089792,132.7029532815303,1.5,0.4419471209855434,149.40078262939085,10.0,0.0586679938391154,82.29552630356133,10.0,0.271653178500755,2.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72536,Base Case,dikesnet,312274405.7204653,0.2144252913235255,14271814.986175068,0.0131981277194479,178879114.57190558,0.3118495602328318,140534964.8576386,0.0586327745478073,0.0,0.0,0.0,645960300.1361846,0.5981057538236126
93941,62,144.97305976590133,1.0,0.5868249710689305,95.92427819468924,10.0,0.1831875656851448,273.3447733851752,1.5,0.3769453366208381,59.841028454747295,10.0,0.0508270021180059,49.47760591793144,10.0,0.4364205617899394,1.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93941,Base Case,dikesnet,109677571.6441518,0.0830780266147108,395863150.9300623,0.3753449141171149,186993494.2619207,0.344805816488098,140533590.2743599,0.0599796846828822,0.0,0.0,0.0,833067807.1104947,0.8632084419028062
10303,92,101.4774505990947,1.5,0.6116169666903402,220.00523155832835,1.5,0.405746881985708,76.00237041612726,1.0,0.5119351040808874,220.92010769949616,1.0,0.0530325422215692,192.14656709599947,10.0,0.9573561263581136,2.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10303,Base Case,dikesnet,84572545.92475966,0.0568252347630975,105426972.78581926,0.0927771350297241,63460880.01773769,0.1070745327185498,140530564.99660474,0.0552225708359773,0.0,0.0,0.0,393990963.72492135,0.3118994733473489
13569,36,268.25615978127536,10.0,0.570699127556967,317.3093407549398,1.5,0.6765250933968565,38.347581275857415,10.0,0.906234930930034,109.06863342729318,1.5,0.0209422949106122,94.60115808330885,1.0,0.7926727375209444,4.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13569,Base Case,dikesnet,100151574.73960412,0.079496272871798,19099321.32376913,0.0204629090475112,3406910.3500850378,0.006974041951357,140526811.99515688,0.0621123547485517,0.0,0.0,0.0,263184618.4086152,0.1690455786192182
8155,45,41.05601039622679,1.0,0.4232192081807513,99.56071401410472,10.0,0.5436290576334912,259.82480033428,10.0,0.7710339154016259,134.61373621262598,1.5,0.0140095164836331,323.55146818556443,1.5,0.990946665595282,2.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8155,Base Case,dikesnet,583345776.3914484,0.5044358337789612,31039178.360996388,0.037229181048889,0.0,0.0,140509703.10391995,0.0728062171912374,0.0,0.0,0.0,754894657.8563647,0.6144712320190877
53634,85,302.8582881474676,1.5,0.6163661456024699,49.13033442479731,1.5,0.8096598017449517,32.65497793702861,10.0,0.9793230644192475,49.65970156504204,1.5,0.0013158182196765,177.51319015357728,10.0,0.104039299254901,3.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53634,Base Case,dikesnet,67245509.37456891,0.0570999653820959,12557655.455424435,0.0146162269357908,14477736.208293354,0.0316898076027614,140490463.5227586,0.0678530890620057,106241390.20777775,0.1102981277300227,0.0,341012754.768823,0.2815572167126767
80552,38,291.5892412495739,1.5,0.3705178049303224,101.22688424069072,1.5,0.617961068793869,198.67179649441167,10.0,0.8427355717755286,274.8514428443293,1.0,0.0105930200240363,106.89043406116778,1.5,0.1563898336601914,2.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80552,Base Case,dikesnet,2014144508.1306667,1.0869995251324625,0.0,0.0,0.0,0.0,140483925.26430514,0.0383922125390436,0.0,0.0,0.0,2154628433.394972,1.125391737671506
21209,16,101.94495106901738,1.5,0.6939414564563906,83.00227276488869,1.5,0.306446348049345,133.09559547904124,1.5,0.4283457257727019,192.2785978884688,10.0,0.0890692036361005,154.44830401516816,1.0,0.0190820848759625,2.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21209,Base Case,dikesnet,52545956.263859645,0.0396216559753587,192073333.6104642,0.1843641270397193,70403327.89145377,0.1288269327072032,140452661.3410561,0.0626752374786715,1005011187.2687248,0.8612038413973689,0.0,1460486466.3755586,1.2766917945983218
3498,127,258.78012947697374,1.5,0.8172913229054927,327.0958941515394,10.0,0.5629724890079183,340.74248025922026,1.0,0.908890610365907,333.4818491090709,1.5,0.0381544783317856,78.17249518203477,1.0,0.7307587058297603,2.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3498,Base Case,dikesnet,1097044.3970678651,0.0010147759559325,44593368.08081919,0.0540495857572854,7249126.948569713,0.0167265966511582,140433672.84179163,0.07311565273073,0.0,0.0,0.0,193373212.2682484,0.1449066110951062
